id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
32219053-6b17-4fdb-8445-0444968f8109,transports.delivery,available,8.99,,medium,low,10,name.com,,
dc7d0d8c-09ea-401f-bd21-62881905040e,distribution.express,available,9.98,49.98,medium,low,12,namecheap,,
83a720d9-f1b8-491c-9b9d-e34a826b02c9,transported.express,available,16.99,,medium,low,11,name.com,,
c7fe574c-18be-4679-aabd-9d77d6d2e858,transported.fast,available,35.98,,medium,low,11,namecheap,,
b18d84bb-ead9-40b3-8aaf-16f089949239,ships.express,available,16.99,,medium,low,5,name.com,,
5ae7996c-d9e0-45bc-b790-c0aabeb92d31,publictransit.flights,available,59.99,,medium,low,14,name.com,,
66d85d9c-f9af-47d2-be71-835ca11713fc,publictransit.industries,available,17.49,,medium,low,14,name.com,,
316bb29a-ef5e-4cd4-be52-4fedae17f7aa,transported.auto,available,2950,,medium,low,11,namecheap,,
6d8b3e50-5028-432a-a9c3-a5d6c4143f38,publictransit.ltd,available,9.99,,medium,low,14,name.com,,
e74e21d9-962a-4bf3-a50f-397c50f4ae23,transported.company,available,3.99,,medium,low,11,name.com,,
882b469e-36dc-44ee-bd1a-f468d8836111,travel.works,resell,,,high,medium,6,Porkbun LLC,29/10/2016 21:12,29/10/2026 21:12
cf19dc55-3a39-4db0-b318-be9d39dedfb4,road.racing,resell,,,high,low,4,Porkbun,25/10/2017 05:46,25/10/2026 05:46
1bd00265-e26c-4f62-bb90-81284c8cb097,publictransit.airforce,available,134.98,,medium,low,14,namecheap,,
480d6411-2ae4-4aee-ab7b-16c2d64ea005,publictransit.limo,available,19.99,,medium,low,14,name.com,,
15e50770-5117-4688-8605-67378a7615c3,transported.gmbh,available,47.99,,medium,low,11,name.com,,
a9c20bb4-81e0-48e2-a818-5f0e1133d421,distribution.com,premium,2961250,,medium,low,12,"GoDaddy.com, LLC",01/10/1994 04:00,23/01/2027 14:55
6e9d1a3b-ce8c-4b44-a8b9-4807343c6551,publictransit.dealer,available,350,,medium,low,14,name.com,,
86ecc05b-7a51-40d9-bbb3-5f1794a9f69e,transports.airforce,available,134.98,,medium,low,10,namecheap,,
